student_id,company_id,eligible,criteria_score,hard_pass,soft_score
SRM_STA_001,CO001,0,0.0,0,0.275
SRM_STA_001_V2,CO001,0,0.0,0,0.3041666666666667
SRM_STA_002,CO001,0,0.0,0,0.6000000000000001
SRM_STA_002_V2,CO001,0,0.0,0,0.6125
SRM_STA_003,CO001,0,0.0,0,0.47333333333333333
SRM_STA_003_V2,CO001,0,0.0,0,0.38750000000000007
SRM_STA_004,CO001,0,0.0,0,0.5999166666666668
SRM_STA_004_V2,CO001,0,0.0,0,0.58325
SRM_STA_005,CO001,0,0.0,0,0.6132500000000001
SRM_STA_005_V2,CO001,0,0.0,0,0.6232500000000001
SRM_STA_006,CO001,0,0.0,0,0.44991666666666663
SRM_STA_006_V2,CO001,0,0.0,0,0.26658333333333334
SRM_STA_007,CO001,0,0.0,0,0.5092500000000001
SRM_STA_007_V2,CO001,0,0.0,0,0.6625833333333332
SRM_STA_008,CO001,0,0.0,0,0.35
SRM_STA_008_V2,CO001,0,0.0,0,0.35
SRM_STA_009,CO001,0,0.0,0,0.5034166666666666
SRM_STA_009_V2,CO001,0,0.0,0,0.6567500000000001
SRM_STA_010,CO001,0,0.0,0,0.41333333333333333
SRM_STA_010_V2,CO001,0,0.0,0,0.39666666666666667
SRM_STA_011,CO001,1,0.425,1,0.42499999999999993
SRM_STA_011_V2,CO001,0,0.0,0,0.43999999999999995
SRM_STA_012,CO001,0,0.0,0,0.425
SRM_STA_012_V2,CO001,0,0.0,0,0.4083333333333333
SRM_STA_013,CO001,0,0.0,0,0.2833333333333333
SRM_STA_013_V2,CO001,0,0.0,0,0.3
SRM_STA_014,CO001,0,0.0,0,0.13666666666666666
SRM_STA_014_V2,CO001,0,0.0,0,0.155
SRM_STA_015,CO001,0,0.0,0,0.5900000000000001
SRM_STA_015_V2,CO001,0,0.0,0,0.5
SRM_STA_016,CO001,0,0.0,0,0.30833333333333335
SRM_STA_016_V2,CO001,0,0.0,0,0.29583333333333334
SRM_STA_017,CO001,0,0.0,0,0.3208333333333333
SRM_STA_017_V2,CO001,0,0.0,0,0.46499999999999997
SRM_STA_018,CO001,1,0.3458,1,0.3458333333333333
SRM_STA_018_V2,CO001,0,0.3333,1,0.33333333333333337
SRM_STA_019,CO001,0,0.0,0,0.25833333333333336
SRM_STA_019_V2,CO001,0,0.0,0,0.3416666666666667
SRM_STA_020,CO001,0,0.0,0,0.57175
SRM_STA_020_V2,CO001,0,0.0,0,0.74175
SRM_STA_021,CO001,0,0.0,0,0.5166666666666666
SRM_STA_021_V2,CO001,0,0.0,0,0.4325
SRM_STA_022,CO001,0,0.0,0,0.38741666666666674
SRM_STA_022_V2,CO001,0,0.0,0,0.40825000000000006
SRM_STA_023,CO001,0,0.0,0,0.44991666666666663
SRM_STA_023_V2,CO001,0,0.0,0,0.3665833333333333
SRM_STA_024,CO001,0,0.0,0,0.35
SRM_STA_024_V2,CO001,0,0.0,0,0.3375
SRM_STA_025,CO001,1,0.4832,1,0.48324999999999996
SRM_STA_025_V2,CO001,1,0.4832,1,0.48324999999999996
SRM_STA_026,CO001,0,0.0,0,0.6717500000000001
SRM_STA_026_V2,CO001,0,0.0,0,0.6967500000000001
SRM_STA_027,CO001,0,0.0,0,0.425
